-1958280,4788150
-2161590,4674450
-2199060,4262490
-1620120,4802760
-2991510,4221870
-3145590,4338150
-2347860,4745970
-2963580,4530930
-1682550,4648770
-2022930,4589640
-2222070,4262610
-1945380,4610580
-2193180,4682190
-2103480,4287840
-1579140,4783050
-2727840,4212420
-2320350,4255680
-2021610,4424700
-2383170,4618680
-2099430,4540290
-2130300,4304610
-2819490,4617900
-2180640,4751640
-1993440,4467270
-2419620,4616400
-2459010,4314900
-2444790,4718220
-1955550,4486740
-2305770,4656390
-2476590,4706400
-2925090,4592670
-2360190,4743660
-2599860,4677930
-2220120,4758750
-2732550,4218990
-2108010,4445370
-1958430,4865340
-1847670,4844400
-2984700,4220040
-1804230,4627890
-3099060,4521900
-2016630,4472400
-2684730,4195380
-2389560,4515300
-2619630,4671780
-1854660,4644810
-2582370,4680780
-2451030,4716030
-3111420,4489590
-1987410,4600680
-2183580,4605720
-2229960,4776150
-2057940,4493340
-2018280,4380060
-2730840,4210920
-2016360,4430160
-2162550,4678620
-2212650,4239810
-2169240,4479540
-2047020,4324860
-2737560,4211070
-2731770,4213500
-2650710,4663800
-2081790,4310460
-1557870,4761150
-1998720,4421580
-1583820,4781070
-2649060,4614360
-1868550,4832940
-2343390,4265070
-2030460,4424130
-2136720,4509180
-2162460,4678740
-1849350,4630980
-2190510,4661880
-2037930,4428480
-1682010,4676910
-2029050,4423980
-1624080,4803480
-2205510,4255020
-2446170,4637790
-2385420,4289220
-2706180,4650900
-1980660,4530240
-3156150,4397460
-2737500,4213140
-1441410,4178520
-2001210,4603170
-2633880,4670520
-1843980,4620000
-1874010,4624230
-2044380,4437840
-2476950,4391400
-2327820,4753920
-2025630,4443570
-2837700,4183620
-2480220,4391520
-2046480,4449720
-2984160,4220190
-1540260,4283460
